method,algorithm,seed,scenario,safety_mode,episodes,raw_mean_episode_hard_safety_cost,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,mean_weighted_projection_distance,mean_decision_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate
bc,bc,4,cold_wave_extreme,none,1,54.53192743473871,450660.36926816014,450660.36926816014,63.22774934842768,54.53192743473871,1.0,0.0,0.0,0.3473249999999724,0.0,1.0,0.0,0.0
bc,bc,4,compound_extreme,none,1,78.97282366444861,653127.8946060758,653127.8946060758,82.53553707365768,78.97282366444861,1.0,0.0,0.0,0.29399166666665977,0.0,1.0,0.0,0.0
td3_bc,td3_bc,0,in_distribution,none,1,1.0097709966161084,21836.272554886415,21836.272554886415,45.4167436466186,1.0097709966161084,1.0,0.0,0.0,0.23472500000017624,0.0,1.0,0.0,0.0
td3_bc,td3_bc,0,load_up_20,none,1,11.193663317399414,106411.3634036403,106411.3634036403,33.17950935705133,11.193663317399414,1.0,0.0,0.0,0.29431250000004167,0.0,1.0,0.0,0.0
td3_bc,td3_bc,0,cold_wave_extreme,none,1,47.255539416724396,392986.7687331597,392986.7687331597,56.63843320089817,47.255539416724396,1.0,0.0,0.0,0.26906666666655826,0.0,1.0,0.0,0.0
td3_bc,td3_bc,0,compound_extreme,none,1,62.28777699435736,520491.603253795,520491.603253795,68.57973283731438,62.28777699435736,1.0,0.0,0.0,0.24797916666644917,0.0,1.0,0.0,0.0
td3_bc,td3_bc,1,in_distribution,none,1,1.3258353774704776,24314.45465788263,24314.45465788263,43.81404002033665,1.3258353774704776,1.0,0.0,0.0,0.23279166666652826,0.0,1.0,0.0,0.0
td3_bc,td3_bc,1,load_up_20,none,1,11.70918450965553,110506.6062252873,110506.6062252873,32.35118566302871,11.70918450965553,1.0,0.0,0.0,0.24871666666677802,0.0,1.0,0.0,0.0
td3_bc,td3_bc,1,cold_wave_extreme,none,1,48.59505874916579,403749.6406542236,403749.6406542236,58.627786616032814,48.59505874916579,1.0,0.0,0.0,0.22210416666657018,0.0,1.0,0.0,0.0
td3_bc,td3_bc,1,compound_extreme,none,1,62.014612946036735,518406.2336793516,518406.2336793516,69.31323080227072,62.014612946036735,1.0,0.0,0.0,0.2781458333334097,0.0,1.0,0.0,0.0
td3_bc,td3_bc,2,in_distribution,none,1,1.6886124992080767,27689.87403291373,27689.87403291373,45.17145191392362,1.6886124992080767,1.0,0.0,0.0,0.2611874999997414,0.0,1.0,0.0,0.0
td3_bc,td3_bc,2,load_up_20,none,1,12.50949134031771,117354.6128017528,117354.6128017528,33.75717772848758,12.50949134031771,1.0,0.0,0.0,0.25702083333330644,0.0,1.0,0.0,0.0
td3_bc,td3_bc,2,cold_wave_extreme,none,1,49.76619067685252,413633.5075231565,413633.5075231565,60.54800959156121,49.76619067685252,1.0,0.0,0.0,0.23915000000015083,0.0,1.0,0.0,0.0
td3_bc,td3_bc,2,compound_extreme,none,1,64.0793990556633,535426.3064781605,535426.3064781605,71.8058418408284,64.0793990556633,1.0,0.0,0.0,0.26117499999989136,0.0,1.0,0.0,0.0
td3_bc,td3_bc,3,in_distribution,none,1,2.8854066500149127,36766.871056840704,36766.871056840704,29.573513217504946,2.8854066500149127,1.0,0.0,0.0,0.25054166666664085,0.0,1.0,0.0,0.0
td3_bc,td3_bc,3,load_up_20,none,1,22.07806368585217,193398.43799255835,193398.43799255835,34.77272735581492,22.07806368585217,1.0,0.0,0.0,0.24960833333335466,0.0,1.0,0.0,0.0
td3_bc,td3_bc,3,cold_wave_extreme,none,1,61.264568283374935,505072.59852033894,505072.59852033894,65.58310402417433,61.264568283374935,1.0,0.0,0.0,0.28854583333333866,0.0,1.0,0.0,0.0
td3_bc,td3_bc,3,compound_extreme,none,1,75.72642550494795,628012.5528220619,628012.5528220619,77.99508128881116,75.72642550494795,1.0,0.0,0.0,0.2691791666665407,0.0,1.0,0.0,0.0
td3_bc,td3_bc,4,in_distribution,none,1,0.0,13983.86428053142,13983.86428053142,52.848802654968395,0.0,0.0,0.0,0.0,0.2651749999999324,0.0,1.0,0.0,0.0
td3_bc,td3_bc,4,load_up_20,none,1,5.521871596491133,61287.60864951905,61287.60864951905,31.908582208856696,5.521871596491133,1.0,0.0,0.0,0.24357916666661872,0.0,1.0,0.0,0.0
td3_bc,td3_bc,4,cold_wave_extreme,none,1,40.88637957620195,342317.8652094169,342317.8652094169,54.287673696291506,40.88637957620195,1.0,0.0,0.0,0.23099583333322884,0.0,1.0,0.0,0.0
td3_bc,td3_bc,4,compound_extreme,none,1,56.028398294310136,470650.7852019459,470650.7852019459,65.06721368794035,56.028398294310136,1.0,0.0,0.0,0.22689166666678418,0.0,1.0,0.0,0.0
cql,cql,0,in_distribution,none,1,0.41026632474100744,17048.319666064985,17048.319666064985,44.119539668896245,0.41026632474100744,1.0,0.0,0.0,0.2752666666666996,0.0,1.0,0.0,0.0
cql_ood_warning,cql,0,in_distribution,ood_warning,1,0.41026632474100744,17048.319666064985,17048.319666064985,44.119539668896245,0.41026632474100744,1.0,0.0,0.0,0.22029166666685343,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,0,in_distribution,fixed,1,0.41026632474100744,13807.51938059627,13807.51938059627,44.821014752997684,0.0,0.0,0.012683397779862085,0.012683397779862085,342.6572708333342,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333
cql_adaptive_safety,cql,0,in_distribution,adaptive,1,0.41026632474100744,13781.37721924399,13781.37721924399,43.874945765747356,0.0,0.0,0.004799489552776019,0.004799489552776019,361.7605541666662,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.0
cql,cql,0,load_up_20,none,1,10.21409043791198,98576.78810038614,98576.78810038614,30.863417009883953,10.21409043791198,1.0,0.0,0.0,0.24791249999944753,0.0,1.0,0.0,0.0
cql_ood_warning,cql,0,load_up_20,ood_warning,1,10.21409043791198,98576.78810038614,98576.78810038614,30.863417009883953,10.21409043791198,1.0,0.0,0.0,0.22512083333303679,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,0,load_up_20,fixed,1,12.761470869187129,18091.578852524137,18091.578852524137,52.327059158158356,3.1174353409824107e-07,0.0,0.34723238305499154,0.33643578464766755,233.82000416666745,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334
cql_adaptive_safety,cql,0,load_up_20,adaptive,1,12.037515402686967,17278.878729110693,17278.878729110693,25.86744546024726,1.6227790133882536e-07,0.0,0.1542373402044177,0.14967957551805852,251.62908333333345,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.0
cql,cql,0,cold_wave_extreme,none,1,48.13634813098611,400064.8386738618,400064.8386738618,58.47528238681094,48.13634813098611,1.0,0.0,0.0,0.22734999999970049,0.0,1.0,0.0,0.0
cql_ood_warning,cql,0,cold_wave_extreme,ood_warning,1,48.13634813098611,400064.8386738618,400064.8386738618,58.47528238681094,48.13634813098611,1.0,0.0,0.0,0.23404999999983764,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,0,cold_wave_extreme,fixed,1,51.63111167960483,16976.645276257743,16976.645276257743,24.22349037020367,2.6606440073351223e-07,0.0,0.5453614791234335,0.5253539210792721,144.87473333333335,0.7083333333333334,0.2916666666666667,0.0,0.7083333333333334
cql_adaptive_safety,cql,0,cold_wave_extreme,adaptive,1,50.864217325961704,16563.222234719608,16563.222234719608,13.58390687268145,2.2069782268374638e-07,0.0,0.46919254461924237,0.4514922778083532,187.93493333333473,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
cql,cql,0,compound_extreme,none,1,63.6480459068531,531372.5194376371,531372.5194376371,70.51007097792285,63.6480459068531,1.0,0.0,0.0,0.29260833333299985,0.0,1.0,0.0,0.0
cql_ood_warning,cql,0,compound_extreme,ood_warning,1,63.6480459068531,531372.5194376371,531372.5194376371,70.51007097792285,63.6480459068531,1.0,0.0,0.0,0.2859916666668738,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,0,compound_extreme,fixed,1,67.3884756194474,25418.34325851465,25418.34325851465,27.834194682160174,2.2664810472861063e-08,0.0,0.6240131917099158,0.6057660401899598,129.77340833333201,0.7916666666666666,0.20833333333333334,0.0,0.7916666666666666
