method,scenario,seeds,mean_episode_cost_eur,std_episode_cost_eur,cvar90_episode_cost_eur,mean_hard_safety_cost,std_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,intervention_rate,mean_decision_time_ms
bc,cold_wave_extreme,5,530195.3525036781,71598.46980492605,530195.3525036781,64.50080829697553,8.984136546412254,1.0,0.0,0.0,0.29436166666668334
bc,compound_extreme,5,692610.5358858511,64573.78800826532,692610.5358858511,83.91494999342649,8.106496080450874,1.0,0.0,0.0,0.29594249999998673
bc,in_distribution,5,56251.670530125906,30337.57238788875,56251.670530125906,5.38300014021778,3.8121051441100007,1.0,0.0,0.0,0.2880166666667202
bc,load_up_20,5,225974.5117858579,62502.88853940135,225974.5117858579,26.216478993534178,7.837105265381227,1.0,0.0,0.0,0.308554166666708
cql,cold_wave_extreme,5,414519.3683599049,56963.409263999165,414519.3683599049,49.93449025797911,7.139297054533207,1.0,0.0,0.0,0.25536750000032526
cql,compound_extreme,5,538233.1754022794,55630.662646310506,538233.1754022794,64.49223689209431,6.96994853049612,1.0,0.0,0.0,0.2586783333319076
cql,in_distribution,5,23991.4942166686,8412.301076487292,23991.4942166686,1.2739940355913135,1.063141286576109,0.8,0.0,0.0,0.26285916666718795
cql,load_up_20,5,117282.36652128308,47715.10398947068,117282.36652128308,12.547087169948918,5.982621061221693,1.0,0.0,0.0,0.2559308333343502
cql_adaptive_safety,cold_wave_extreme,5,16379.91692504682,125.74929311025205,16379.91692504682,3.1109078513225086e-07,2.3217715930989626e-07,0.0,0.47717147720977665,0.7333333333333334,173.29567499999837
cql_adaptive_safety,compound_extreme,5,25088.59289254441,70.28697258209212,25088.59289254441,7.180725489774886e-08,1.0520252146886147e-07,0.0,0.5743176751770079,0.7833333333333333,146.48707500000023
cql_adaptive_safety,in_distribution,5,13852.898090756815,162.0617508408959,13852.898090756815,0.0,0.0,0.0,0.01386294992019733,0.11666666666666665,390.1112783333349
cql_adaptive_safety,load_up_20,5,17373.80775758016,112.13473568902269,17373.80775758016,9.5744236716655e-08,1.2456761379197118e-07,0.0,0.15371446299056213,0.6,228.5428733333335
cql_fixed_safety,cold_wave_extreme,5,16715.14795086506,154.28032863561864,16715.14795086506,2.1772102805073245e-07,7.038840908564663e-08,0.0,0.5429347114016612,0.7333333333333334,151.75379500000108
cql_fixed_safety,compound_extreme,5,25520.718776655012,98.36849460366612,25520.718776655012,4.3125760740281294e-08,3.5692608337783274e-08,0.0,0.6611182099208236,0.7833333333333333,129.07729749999964
cql_fixed_safety,in_distribution,5,13943.686840912667,194.84946939714033,13943.686840912667,0.0,0.0,0.0,0.03598276035239299,0.10833333333333332,404.98179916666885
cql_fixed_safety,load_up_20,5,18159.040518476635,131.0932065781467,18159.040518476635,1.7270575511929564e-07,1.1523865530408497e-07,0.0,0.3639542942866683,0.6,215.7131600000013
cql_ood_warning,cold_wave_extreme,5,414519.3683599049,56963.409263999165,414519.3683599049,49.93449025797911,7.139297054533207,1.0,0.0,0.0,0.25281333333347555
cql_ood_warning,compound_extreme,5,538233.1754022794,55630.662646310506,538233.1754022794,64.49223689209431,6.96994853049612,1.0,0.0,0.0,0.2673108333340224
cql_ood_warning,in_distribution,5,23991.4942166686,8412.301076487292,23991.4942166686,1.2739940355913135,1.063141286576109,0.8,0.0,0.0,0.24823666666586122
cql_ood_warning,load_up_20,5,117282.36652128308,47715.10398947068,117282.36652128308,12.547087169948918,5.982621061221693,1.0,0.0,0.0,0.2692658333335392
iql,cold_wave_extreme,5,480323.1272099017,100906.64392702503,480323.1272099017,58.205365424491355,12.690834095440152,1.0,0.0,0.0,0.2591833333317103
iql,compound_extreme,5,620851.4523815258,101810.91412538686,620851.4523815258,74.89056703743897,12.782706750768378,1.0,0.0,0.0,0.26636833333337034
iql,in_distribution,5,45033.55653820626,39190.46954367576,45033.55653820626,3.926735332677649,4.968071873888272,0.8,0.0,0.0,0.28212833333564424
iql,load_up_20,5,177661.84801807726,90577.1444326113,177661.84801807726,20.123465519207024,11.393423716806222,1.0,0.0,0.0,0.25920416666735946
iql_adaptive_safety,cold_wave_extreme,5,16702.877995652332,804.6948431474228,16702.877995652332,1.2422811828116665e-07,1.4646645665576242e-07,0.0,0.5061984193200867,0.775,159.93099083333342
iql_adaptive_safety,compound_extreme,5,24535.666240400526,466.05107635676984,24535.666240400526,2.26511697221099e-07,2.95658152096278e-07,0.0,0.6612807081701855,0.8333333333333333,142.91395333333176
iql_adaptive_safety,in_distribution,5,13757.942449452607,503.86142311559433,13757.942449452607,0.0,0.0,0.0,0.03581697040547927,0.19999999999999998,392.5392566666635
iql_adaptive_safety,load_up_20,5,17342.86466893637,586.9681134941368,17342.86466893637,1.404007534233642e-07,1.7388284217488047e-07,0.0,0.2292272787541151,0.7,192.73533916666707
iql_fixed_safety,cold_wave_extreme,5,17331.574998732332,1163.3059484437906,17331.574998732332,9.51790866565716e-08,1.0729719022900687e-07,0.0,0.6292450271546841,0.775,146.06660083333102
iql_fixed_safety,compound_extreme,5,24885.113365227397,645.3550974866894,24885.113365227397,4.272772216040721e-08,4.4368873844824654e-08,0.0,0.7373973475769162,0.8333333333333333,116.17177833332921
iql_fixed_safety,in_distribution,5,13875.283806097945,417.80738530613394,13875.283806097945,0.0,0.0,0.0,0.06434453167021274,0.19999999999999998,384.96118000000104
iql_fixed_safety,load_up_20,5,18142.87687152341,743.8175392115871,18142.87687152341,9.152434010673005e-08,1.3845889406255796e-07,0.0,0.44010789884875223,0.7,172.5972158333306
iql_ood_warning,cold_wave_extreme,5,480323.1272099017,100906.64392702503,480323.1272099017,58.205365424491355,12.690834095440152,1.0,0.0,0.0,0.2612591666637817
iql_ood_warning,compound_extreme,5,620851.4523815258,101810.91412538686,620851.4523815258,74.89056703743897,12.782706750768378,1.0,0.0,0.0,0.24859999999857035
iql_ood_warning,in_distribution,5,45033.55653820626,39190.46954367576,45033.55653820626,3.926735332677649,4.968071873888272,0.8,0.0,0.0,0.30481583333378615
iql_ood_warning,load_up_20,5,177661.84801807726,90577.1444326113,177661.84801807726,20.123465519207024,11.393423716806222,1.0,0.0,0.0,0.2498241666629042
perfect_information_lp,cold_wave_extreme,1,15025.62696869869,0.0,15025.62696869869,0.0,0.0,0.0,0.0,0.0,0.3157416666666653
perfect_information_lp,compound_extreme,1,21975.40179737711,0.0,21975.40179737711,0.0,0.0,0.0,0.0,0.0,0.35157500000001135
perfect_information_lp,in_distribution,1,11187.56054652203,0.0,11187.56054652203,0.0,0.0,0.0,0.0,0.0,0.46263750000001086
perfect_information_lp,load_up_20,1,14841.636473521176,0.0,14841.636473521176,0.0,0.0,0.0,0.0,0.0,0.352095833333362
rolling_mpc,cold_wave_extreme,1,15402.482731977678,0.0,15402.482731977678,1.3322676295501878e-14,0.0,0.0,0.0,0.0,7.709687499999859
rolling_mpc,compound_extreme,1,22362.49598376357,0.0,22362.49598376357,0.0,0.0,0.0,0.0,0.0,7.54706249999996
rolling_mpc,in_distribution,1,11187.449136123743,0.0,11187.449136123743,7.105427357601002e-15,0.0,0.0,0.0,0.0,8.989754166666641
rolling_mpc,load_up_20,1,14944.931874577996,0.0,14944.931874577996,5.329070518200751e-15,0.0,0.0,0.0,0.0,7.986170833333307
rule_based,cold_wave_extreme,1,17196.555434418853,0.0,17196.555434418853,0.0,0.0,0.0,0.0,0.0,0.2207083333333563
rule_based,compound_extreme,1,23220.994525861286,0.0,23220.994525861286,0.0,0.0,0.0,0.0,0.0,0.1888208333333067
rule_based,in_distribution,1,13058.577595908842,0.0,13058.577595908842,0.0,0.0,0.0,0.0,0.0,0.20211666666669625
rule_based,load_up_20,1,16655.31700534915,0.0,16655.31700534915,0.0,0.0,0.0,0.0,0.0,0.18842083333333223
td3_bc,cold_wave_extreme,5,411552.0761280592,59053.67275770179,411552.0761280592,49.553547340463915,7.391085281690554,1.0,0.0,0.0,0.24997249999996937
td3_bc,compound_extreme,5,534597.496287063,57613.74570246068,534597.496287063,64.0273225590631,7.209915565580843,1.0,0.0,0.0,0.256674166666615
td3_bc,in_distribution,5,24918.26731661098,8329.10057533832,24918.26731661098,1.381925104661915,1.049508890829084,0.8,0.0,0.0,0.24888416666660382
td3_bc,load_up_20,5,117791.72581455155,47675.64070567695,117791.72581455155,12.602454889943193,5.9731291991164195,1.0,0.0,0.0,0.2586475000000199
