episode,raw_hard_safety_cost,projected_hard_safety_cost,raw_soft_operation_cost,projected_soft_operation_cost,mean_projection_distance_l2,mean_solve_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate,method,scenario,family,risk_score,steps,mean_weighted_projection_distance,p95_solve_time_ms,fallback_rate
2,401.5410923560327,4.8153852461041424e-08,0.0,18.481884914650458,2.6528175274531045,59.78265833333325,1.0,0.0,0.0,1.0,fixed_safety,cold_wave_extreme,weather_extreme,3.5375722129120404,24.0,2.3847055697867288,65.51731999999824,1.0
3,545.8737754943246,41.5696246984809,0.0,9.553953128156282,3.212648202975591,59.14496250000045,1.0,0.0,0.0,1.0,fixed_safety,cold_wave_extreme,weather_extreme,3.5375722129120404,24.0,2.9469986560994434,65.332200000001,1.0
0,362.23057181781945,0.0,0.0,15.925766073748559,2.32461870710055,201.9773124999989,1.0,0.0,1.0,0.0,adaptive_safety,cold_wave_extreme,weather_extreme,3.5375722129120404,24.0,2.0463610954464087,252.57467499999706,
1,392.1728605066999,1.8857050321230417e-07,0.0,17.241404808554876,2.585704227288564,170.77527500000016,1.0,0.0,1.0,0.0,adaptive_safety,cold_wave_extreme,weather_extreme,3.5375722129120404,24.0,2.288226065499861,186.9047199999983,
2,401.5410923560327,0.0,0.0,16.286647069691664,2.648619959751765,169.9178208333339,1.0,0.0,1.0,0.0,adaptive_safety,cold_wave_extreme,weather_extreme,3.5375722129120404,24.0,2.355750503188078,191.3750500000045,
3,545.8737754943246,41.5696246984809,0.0,3.8794536648174347,3.165419469277064,171.19719583333472,1.0,0.0,1.0,0.0,adaptive_safety,cold_wave_extreme,weather_extreme,3.5375722129120404,24.0,2.902255661343851,182.2723649999979,
0,267.6466070566536,267.6466070566536,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,compound_extreme,compound_extreme,3.625108757753969,,,,
1,299.5850483247928,299.5850483247928,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,compound_extreme,compound_extreme,3.625108757753969,,,,
2,309.57782896408105,309.57782896408105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,compound_extreme,compound_extreme,3.625108757753969,,,,
3,463.90001191759234,463.90001191759234,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,compound_extreme,compound_extreme,3.625108757753969,,,,
0,378.3792766056741,2.28636672261473e-07,0.0,7.890214197111555,2.483604848384857,57.82592083333278,1.0,0.0,0.0,1.0,fixed_safety,compound_extreme,compound_extreme,3.625108757753969,24.0,2.2408696548611746,63.73351499999593,1.0
1,435.9855437880764,1.9371295323367121e-07,0.0,13.847601672954418,2.654414802789688,59.56976249999949,1.0,0.0,0.0,1.0,fixed_safety,compound_extreme,compound_extreme,3.625108757753969,24.0,2.4125347907178694,66.98411000000029,1.0
2,454.7467031178403,2.3184720276958615e-07,0.0,2.5647162391917053,2.6400550305843353,58.10015000000016,1.0,0.0,0.0,1.0,fixed_safety,compound_extreme,compound_extreme,3.625108757753969,24.0,2.409934338982724,63.563750000000844,1.0
3,634.3714042327389,63.68800818676905,0.0,5.4047599626020215,3.211574375629425,58.6673666666666,1.0,0.0,0.0,1.0,fixed_safety,compound_extreme,compound_extreme,3.625108757753969,24.0,2.9580464923380703,63.76344499999895,1.0
0,378.3792766056741,0.0,0.0,16.814619344020215,2.446916490793228,173.45099999999942,1.0,0.0,1.0,0.0,adaptive_safety,compound_extreme,compound_extreme,3.625108757753969,24.0,2.1643975766647614,190.4158550000119,
1,411.4195467102193,0.0,0.0,17.856345959965374,2.6864655017852783,174.25789166667016,1.0,0.0,1.0,0.0,adaptive_safety,compound_extreme,compound_extreme,3.625108757753969,24.0,2.4087440027571727,192.36428000000814,
2,454.7467031178403,1.3032893804165724e-06,0.0,2.564716711257958,2.640055020650228,170.8035083333333,1.0,0.0,1.0,0.0,adaptive_safety,compound_extreme,compound_extreme,3.625108757753969,24.0,2.4099343356302323,186.6423500000053,
3,616.2157688945333,63.688008165326565,0.0,3.997222641138981,3.2067714830239615,169.08026249999844,1.0,0.0,1.0,0.0,adaptive_safety,compound_extreme,compound_extreme,3.625108757753969,24.0,2.9495130710774995,179.7668200000004,
