quality,transitions,episodes,policy_mix_observed,mean_reward,mean_episode_return,p10_episode_return,p90_episode_return,mean_safety_cost,mean_episode_safety_cost,mean_hard_safety_cost,mean_episode_hard_safety_cost,mean_soft_operation_cost,mean_episode_soft_operation_cost,unsafe_transition_rate,action_coverage_score,state_coverage_score
expert,4320,180,perfect_information_lp:4320,-1608.9359730106887,-38614.46335225653,-72847.98149899168,-15624.772517687145,0.2948054618616044,7.075331084678507,0.11100402979403408,2.6640967150568184,0.18380143206757035,4.411234369621688,0.48310185185185184,0.5724151948797923,0.29389874415167966
mixed,1440,60,noisy_rolling_mpc:360;rolling_mpc:360;rule_based:360;safe_random:360,-6331.819101916779,-151963.6584460027,-556869.0300851631,-18953.026968020175,1.205386903047428,28.929285673138274,0.6793762948219781,16.30503107572748,0.5260106082254498,12.624254597410795,0.5055555555555555,0.5197224957788826,0.2733358423657675
poor,4320,180,rule_based:1728;safe_random:2592,-6900.82783271684,-165619.86798520412,-554631.5684722476,-14530.076691719492,3.538593345892709,84.926240301425,0.7583744300676212,18.20098632162291,2.7802189158250874,66.72525397980209,0.38449074074074074,0.4871315851872583,0.28831881359143025
