utc_timestamp,electric_load_mw,heat_load_mw_th,pv_available_mw,wind_available_mw,cop_ashp_radiator,temperature_c,grid_import_mw,grid_export_mw,chp_electric_mw,heat_pump_heat_mw_th,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,thermal_charge_mw_th,thermal_discharge_mw_th,thermal_soc_mwh_th,electric_shedding_mw,heat_shedding_mw_th,pv_curtailment_mw,wind_curtailment_mw,chp_heat_mw_th,heat_pump_electric_mw,pv_used_mw,wind_used_mw,electricity_import_price_eur_per_mwh,objective_eur,heat_dump_mw_th,electric_balance_residual_mw,heat_balance_residual_mw_th,mpc_solve_time_s
2018-03-15 00:00:00+00:00,6.5178145430630945,4.247673284030628,0.0,1.760576221735959,2.78,-0.394,6.2328216135105485,0.0,0.0,4.102121552269888,0.0,0.0,3.998,0.0,0.0,9.98,0.0,0.1455517317607402,0.0,0.0,0.0,1.475583292183413,0.0,1.760576221735959,80.0,0.0,0.0,0.0,0.0,0.011413600000000024
2018-03-15 01:00:00+00:00,6.467265857715766,4.360435741908359,0.0,1.9033552151714077,2.76,-0.576,6.656420681377606,0.0,0.0,5.775327707179763,0.0,0.0,3.9960010000000006,2.139724935202231,0.0,11.99277868844212,0.0,0.7248329699308269,0.0,0.0,0.0,2.0925100388332476,0.0,1.9033552151714077,80.0,0.0,0.0,-8.881784197001252e-16,0.0,0.011535600000000201
2018-03-15 02:00:00+00:00,6.554952352706031,4.796176208418432,0.0,2.0047410649161197,2.74,-0.72,6.062907255216855,0.0,0.0,4.1447869507498245,0.0,0.0,3.9940029995000006,0.0,0.0,11.968793131065237,0.0,0.6513892576686073,0.0,0.0,0.0,1.5126959674269431,0.0,2.0047410649161197,80.0,0.0,0.0,8.881784197001252e-16,0.0,0.010723000000000038
2018-03-15 03:00:00+00:00,6.7231041019226545,5.698086905370905,0.0,2.1679431072210065,2.73,-0.85,6.885036911488465,0.0,0.0,6.360561252828009,0.0,0.0,3.9920059980002507,0.0,0.0,11.944855544803106,0.0,0.0,0.0,0.0,0.0,2.3298759167868166,0.0,2.1679431072210065,80.0,0.0,0.6624743474571035,0.0,0.0,0.014780500000000085
2018-03-15 04:00:00+00:00,7.1811370875188585,7.5927432899334635,0.0,2.3255835156819837,2.73,-0.956,8.4638114689668,0.0,0.0,8.820102544002797,0.377451104454907,0.0,4.3485885442334125,0.7182531574762109,0.0,12.603306333315901,0.0,0.0,0.0,0.0,0.0,3.230806792675017,0.0,2.3255835156819837,80.0,0.0,0.5091060965931229,8.881784197001252e-16,0.0,0.011149399999999865
2018-03-15 05:00:00+00:00,8.108808624224682,9.024876665952965,0.012217099258080372,2.4604303428154632,2.73,-0.972,11.971236912405757,0.0,0.0,9.094452430325989,3.0037744737249517,0.0,7.2,0.0,0.0,12.57809972064927,0.0,0.0,0.0,0.0,0.0,3.3313012565296662,0.012217099258080372,2.4604303428154632,80.0,0.0,0.06957576437302393,0.0,0.0,0.0103993
2018-03-15 06:00:00+00:00,8.815845465447651,8.850213745380037,0.2946146464764669,2.399525893508388,2.8,-0.066,7.5302732782027775,0.0,0.0,3.9439913876719466,0.0,0.0,7.196400000000001,0.0,5.0,7.28978562647113,0.0,0.0,0.0,0.0,0.0,1.408568352739981,0.2946146464764669,2.399525893508388,95.0,0.0,0.09377764229190966,0.0,0.0,0.01083389999999973
2018-03-15 07:00:00+00:00,9.084578782447226,8.674249670681819,0.898729140824303,2.397702407002188,2.92,1.724,4.678042994564815,0.0,2.5347584269311874,4.159990225675779,0.0,0.0,7.192801800000001,0.0,2.483401452878633,4.661099262714364,0.0,0.0,0.0,0.0,3.041710112317425,1.424654186875267,0.898729140824303,2.397702407002188,95.0,0.0,1.0108521201900178,0.0,0.0,0.010033799999999982
2018-03-15 08:00:00+00:00,9.090897368115643,8.155886527538115,1.5635078521777799,2.4355397520058353,3.04,4.042,0.0,0.42604113400905064,5.5178908979410775,0.0,0.0,0.0,7.189205399100001,0.0,1.0373827012908032,3.559795273356511,0.0,0.49703474871801934,0.0,0.0,6.621469077529293,0.0,1.5635078521777799,2.4355397520058353,115.0,0.0,0.0,0.0,0.0,0.010471000000000341
2018-03-15 09:00:00+00:00,9.192768443177862,7.672389495178993,2.0884218409904745,2.5206053975200584,3.18,6.055,0.08395403281395097,0.0,4.522041444116934,0.07076858579811067,0.0,0.0,7.185610796400452,0.0,1.4712342834388472,2.004008016032064,0.0,0.703936893001714,0.0,0.0,5.426449732940321,0.022254272263556814,2.0884218409904745,2.5206053975200584,115.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.012601399999999874
