method,scenario,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_episode_cost_eur,failure_mode
iql_ood_warning,load_up_20,38.77174931260067,1.0,325985.8423174241,residual_hard_safety_violation
bc,load_up_20,37.07326698846656,1.0,312641.17470422067,residual_hard_safety_violation
iql,year_2018_winter,32.111215693105365,1.0,276428.8821250168,residual_hard_safety_violation
bc,load_up_20,31.014978581699616,1.0,264084.3464340284,residual_hard_safety_violation
cql,year_2018_winter,26.603302180951268,1.0,232912.8852537655,residual_hard_safety_violation
bc,load_up_20,23.06774652137894,1.0,200801.1121772948,residual_hard_safety_violation
bc,load_up_20,22.84971796715173,1.0,199290.98321838715,residual_hard_safety_violation
td3_bc,load_up_20,22.07806368585217,1.0,193398.43799255835,residual_hard_safety_violation
iql,load_up_20,21.53822920930667,1.0,188827.3415815998,residual_hard_safety_violation
iql_ood_warning,load_up_20,21.53822920930667,1.0,188827.3415815998,residual_hard_safety_violation
cql,load_up_20,20.086464918297786,1.0,177352.99103359657,residual_hard_safety_violation
cql_ood_warning,load_up_20,20.086464918297786,1.0,177352.99103359657,residual_hard_safety_violation
bc,load_up_20,17.07668490897406,1.0,153054.94239535843,residual_hard_safety_violation
cql,load_up_20,16.515938769635756,1.0,149122.60200626947,residual_hard_safety_violation
cql_ood_warning,load_up_20,16.515938769635756,1.0,149122.60200626947,residual_hard_safety_violation
iql,load_up_20,16.502786019100824,1.0,149201.6671125104,residual_hard_safety_violation
iql_ood_warning,load_up_20,16.502786019100824,1.0,149201.6671125104,residual_hard_safety_violation
iql,load_up_20,15.157686166871844,1.0,137621.48849236677,residual_hard_safety_violation
iql_ood_warning,load_up_20,15.157686166871844,1.0,137621.48849236677,residual_hard_safety_violation
iql,in_distribution,12.560390397188929,1.0,113221.26030889884,residual_hard_safety_violation
iql_ood_warning,in_distribution,12.560390397188929,1.0,113221.26030889884,residual_hard_safety_violation
td3_bc,load_up_20,12.50949134031771,1.0,117354.6128017528,residual_hard_safety_violation
td3_bc,load_up_20,11.70918450965553,1.0,110506.6062252873,residual_hard_safety_violation
cql,load_up_20,11.35341389811852,1.0,107654.14676917346,residual_hard_safety_violation
cql_ood_warning,load_up_20,11.35341389811852,1.0,107654.14676917346,residual_hard_safety_violation
iql,price_spike_low_renewable,11.327788172710164,1.0,131464.68457240093,residual_hard_safety_violation
td3_bc,load_up_20,11.193663317399414,1.0,106411.3634036403,residual_hard_safety_violation
bc,in_distribution,10.564597963541711,1.0,97528.0853065463,residual_hard_safety_violation
cql,load_up_20,10.21409043791198,1.0,98576.78810038614,residual_hard_safety_violation
cql_ood_warning,load_up_20,10.21409043791198,1.0,98576.78810038614,residual_hard_safety_violation
iql,year_2019_winter,9.979195065844277,1.0,100180.47772289526,residual_hard_safety_violation
iql,load_up_20,8.646876888155116,1.0,86672.90058648516,residual_hard_safety_violation
iql_ood_warning,load_up_20,8.646876888155116,1.0,86672.90058648516,residual_hard_safety_violation
bc,in_distribution,7.5080868551469155,1.0,73038.17604448234,residual_hard_safety_violation
cql,price_spike_low_renewable,6.440392755316767,1.0,92823.10185077877,residual_hard_safety_violation
cql,year_2019_winter,5.588526442991766,1.0,65580.06537855536,residual_hard_safety_violation
td3_bc,load_up_20,5.521871596491133,1.0,61287.60864951905,residual_hard_safety_violation
bc,in_distribution,4.748989950756253,1.0,51367.602387766354,residual_hard_safety_violation
cql,load_up_20,4.565527825780553,1.0,53705.30469698975,residual_hard_safety_violation
cql_ood_warning,load_up_20,4.565527825780553,1.0,53705.30469698975,residual_hard_safety_violation
bc,in_distribution,3.4783355134921816,1.0,41022.14608075804,residual_hard_safety_violation
iql,in_distribution,3.258267465612908,1.0,39482.323012040855,residual_hard_safety_violation
iql_ood_warning,in_distribution,3.258267465612908,1.0,39482.323012040855,residual_hard_safety_violation
td3_bc,in_distribution,2.8854066500149127,1.0,36766.871056840704,residual_hard_safety_violation
cql,in_distribution,2.373213338017352,1.0,32887.371231047524,residual_hard_safety_violation
cql_ood_warning,in_distribution,2.373213338017352,1.0,32887.371231047524,residual_hard_safety_violation
cql,in_distribution,2.2429476490418843,1.0,31520.02664736013,residual_hard_safety_violation
cql_ood_warning,in_distribution,2.2429476490418843,1.0,31520.02664736013,residual_hard_safety_violation
iql,in_distribution,2.1958723740717963,1.0,31605.26299845305,residual_hard_safety_violation
iql_ood_warning,in_distribution,2.1958723740717963,1.0,31605.26299845305,residual_hard_safety_violation
td3_bc,in_distribution,1.6886124992080769,1.0,27689.87403291373,residual_hard_safety_violation
iql,in_distribution,1.619146426514611,1.0,26435.75981791028,residual_hard_safety_violation
iql_ood_warning,in_distribution,1.619146426514611,1.0,26435.75981791028,residual_hard_safety_violation
cql,in_distribution,1.343542866156325,1.0,24451.70501062766,residual_hard_safety_violation
cql_ood_warning,in_distribution,1.343542866156325,1.0,24451.70501062766,residual_hard_safety_violation
td3_bc,in_distribution,1.3258353774704776,1.0,24314.45465788263,residual_hard_safety_violation
td3_bc,in_distribution,1.0097709966161084,1.0,21836.27255488641,residual_hard_safety_violation
bc,in_distribution,0.6149904181518409,1.0,18302.342831076487,residual_hard_safety_violation
cql,in_distribution,0.4102663247410074,1.0,17048.319666064985,residual_hard_safety_violation
cql_ood_warning,in_distribution,0.4102663247410074,1.0,17048.319666064985,residual_hard_safety_violation
