method,scenario,metric,n,mean,std,ci95_half_width,ci95_low,ci95_high
cql,year_2018_winter,mean_episode_hard_safety_cost,1,26.603302180951268,0.0,0.0,26.603302180951268,26.603302180951268
cql,year_2018_winter,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
cql,year_2019_winter,mean_episode_cost_eur,1,65580.06537855536,0.0,0.0,65580.06537855536,65580.06537855536
cql,year_2019_winter,mean_episode_hard_safety_cost,1,5.588526442991766,0.0,0.0,5.588526442991766,5.588526442991766
cql,year_2019_winter,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
cql_adaptive_safety,cold_climate_zone,mean_episode_cost_eur,1,24462.210040012178,0.0,0.0,24462.210040012178,24462.210040012178
cql_adaptive_safety,cold_climate_zone,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,cold_climate_zone,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,cold_wave_device_fault,mean_episode_cost_eur,1,32847.61322824747,0.0,0.0,32847.61322824747,32847.61322824747
cql_adaptive_safety,cold_wave_device_fault,mean_episode_hard_safety_cost,1,2.8540837249124706e-07,0.0,0.0,2.8540837249124706e-07,2.8540837249124706e-07
cql_adaptive_safety,cold_wave_device_fault,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,cold_wave_extreme,mean_episode_cost_eur,5,16379.91692504682,125.74929311025089,156.13837005457145,16223.778554992248,16536.055295101392
cql_adaptive_safety,cold_wave_extreme,mean_episode_hard_safety_cost,5,3.1109078513225086e-07,2.3217715930989626e-07,2.8828601992031867e-07,2.280476521193219e-08,5.993768050525696e-07
cql_adaptive_safety,cold_wave_extreme,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,compound_extreme,mean_episode_cost_eur,5,25088.59289254441,70.28697258209296,87.27280339792004,25001.32008914649,25175.865695942328
cql_adaptive_safety,compound_extreme,mean_episode_hard_safety_cost,5,7.180725489774887e-08,1.0520252146886148e-07,1.3062618342814413e-07,-5.881892853039526e-08,2.0243343832589299e-07
