hour,scenario,raw_hard_safety_cost,projected_hard_safety_cost,projection_distance_l2,mode,heat_load_mw_th,electric_load_mw
0,cold_wave_device_fault,0.0,0.0,0.0,full_projection,8.129188022230776,7.990754232807643
1,cold_wave_device_fault,0.1204943845635551,0.0,0.25145819783210754,full_projection,8.34792969921886,7.898715650749848
2,cold_wave_device_fault,0.9555523927999072,0.0,0.261119544506073,full_projection,9.122434683491045,7.96851023224026
3,cold_wave_device_fault,2.377714232041443,0.0,0.9628505110740662,full_projection,10.528310992999875,8.182729629008755
4,cold_wave_device_fault,5.838727461294008,0.0,0.9654355049133301,full_projection,14.029851649448943,8.83876645733665
5,cold_wave_device_fault,9.208626488123919,0.0,1.6529194116592407,full_projection,16.57167839488725,10.249809797676306
6,cold_wave_device_fault,8.939994537028813,1.9734123668513348e-08,1.6459349393844604,full_projection,16.155311272236847,11.354756347599581
7,cold_wave_device_fault,8.720354898097344,9.820598911858269e-08,1.4489574432373047,full_projection,15.85439657774789,11.772395517672695
8,cold_wave_device_fault,7.894510834640197,1.7302641097671767e-08,1.335505723953247,full_projection,15.189308797245443,11.866529549059305
9,cold_wave_device_fault,6.933635340798289,1.545791583623668e-08,1.2197096347808838,full_projection,14.489670369096855,11.7686881842448
10,cold_wave_device_fault,6.001662450686861,0.0,1.1250550746917725,full_projection,13.801495326713491,11.939547898747886
11,cold_wave_device_fault,5.4648833944202835,2.822805811319995e-08,1.0815805196762085,full_projection,13.4041974550785,11.88828998439696
12,cold_wave_device_fault,5.409719421348094,0.0,1.0837252140045166,full_projection,13.37176010280335,11.887645230757327
13,cold_wave_device_fault,5.4675981786293235,1.2056462495024789e-08,1.0928486585617065,full_projection,13.440286934022351,11.72210473378122
14,cold_wave_device_fault,5.7188806855993555,0.0,1.1142510175704956,full_projection,13.697260669799356,11.663270964164592
15,cold_wave_device_fault,6.26086898152565,1.704622576426118e-08,1.1664639711380005,full_projection,14.209143643247192,11.725328501979392
16,cold_wave_device_fault,6.753630092392254,0.0,1.1961731910705566,full_projection,14.66573730081578,12.255154805348877
17,cold_wave_device_fault,6.9946552916167,4.232560080197345e-08,1.251619577407837,full_projection,14.80608078080394,12.109762859611342
18,cold_wave_device_fault,6.8895919466315,0.0,1.2165818214416504,full_projection,14.62593193295581,11.776264039510503
19,cold_wave_device_fault,6.326933671294233,4.8165663457666597e-08,1.174646258354187,full_projection,14.03697225278475,11.154882719312948
20,cold_wave_device_fault,5.132754202924196,0.0,0.8970100283622742,full_projection,12.77706693410081,10.528182181588415
21,cold_wave_device_fault,2.619744404068695,0.0,0.9203179478645325,full_projection,10.15934595841776,10.074114430875962
22,cold_wave_device_fault,0.8544192650018569,0.0,0.21284739673137665,full_projection,8.353754047363841,9.303633831512977
23,cold_wave_device_fault,0.5655471151064804,0.0,0.23712635040283203,full_projection,7.947860803950923,8.899534487872183
