algorithm,seed,step,actor_loss,critic_loss
bc,0,0,0.3583631217479706,0.0
bc,0,1,0.3517598509788513,0.0
bc,0,2,0.35263776779174805,0.0
bc,0,3,0.34644201397895813,0.0
bc,0,4,0.3483333885669708,0.0
bc,0,5,0.34778931736946106,0.0
bc,0,6,0.3662250339984894,0.0
bc,0,7,0.3437049388885498,0.0
bc,0,8,0.34900999069213867,0.0
bc,0,9,0.3421687185764313,0.0
bc,0,10,0.32384440302848816,0.0
bc,0,11,0.3354644775390625,0.0
bc,0,12,0.3312992453575134,0.0
bc,0,13,0.31747084856033325,0.0
bc,0,14,0.341035932302475,0.0
bc,0,15,0.32224491238594055,0.0
bc,0,16,0.3271799385547638,0.0
bc,0,17,0.31623169779777527,0.0
bc,0,18,0.3195233941078186,0.0
bc,0,19,0.299497127532959,0.0
bc,0,20,0.29320213198661804,0.0
bc,0,21,0.31909888982772827,0.0
bc,0,22,0.3242320418357849,0.0
bc,0,23,0.319454550743103,0.0
bc,0,24,0.30421122908592224,0.0
bc,0,25,0.28694066405296326,0.0
bc,0,26,0.3117821514606476,0.0
bc,0,27,0.3164514899253845,0.0
bc,0,28,0.29739487171173096,0.0
bc,0,29,0.3052023649215698,0.0
bc,0,30,0.2900381088256836,0.0
bc,0,31,0.31059199571609497,0.0
bc,0,32,0.2765750288963318,0.0
bc,0,33,0.30274856090545654,0.0
bc,0,34,0.28689032793045044,0.0
bc,0,35,0.28623679280281067,0.0
bc,0,36,0.2689567506313324,0.0
bc,0,37,0.2765457332134247,0.0
bc,0,38,0.30380529165267944,0.0
bc,0,39,0.2878265082836151,0.0
bc,0,40,0.31329452991485596,0.0
bc,0,41,0.2854546010494232,0.0
bc,0,42,0.28968116641044617,0.0
bc,0,43,0.3147568106651306,0.0
bc,0,44,0.2749427556991577,0.0
bc,0,45,0.27625611424446106,0.0
bc,0,46,0.2891583740711212,0.0
bc,0,47,0.289904922246933,0.0
bc,0,48,0.2781461179256439,0.0
bc,0,49,0.29508519172668457,0.0
bc,0,50,0.2808744013309479,0.0
bc,0,51,0.2596210837364197,0.0
bc,0,52,0.2964083254337311,0.0
bc,0,53,0.28648728132247925,0.0
bc,0,54,0.29581737518310547,0.0
bc,0,55,0.2617485523223877,0.0
bc,0,56,0.2810368239879608,0.0
bc,0,57,0.2969481348991394,0.0
bc,0,58,0.2783007025718689,0.0
bc,0,59,0.2840190827846527,0.0
bc,0,60,0.2743839919567108,0.0
bc,0,61,0.2804776430130005,0.0
bc,0,62,0.26362842321395874,0.0
bc,0,63,0.2814095616340637,0.0
bc,0,64,0.27861881256103516,0.0
bc,0,65,0.2675601840019226,0.0
bc,0,66,0.2696683704853058,0.0
bc,0,67,0.27668774127960205,0.0
bc,0,68,0.2866780161857605,0.0
bc,0,69,0.27239254117012024,0.0
bc,0,70,0.2748783230781555,0.0
bc,0,71,0.27994629740715027,0.0
bc,0,72,0.28139546513557434,0.0
bc,0,73,0.2548775374889374,0.0
bc,0,74,0.26713624596595764,0.0
bc,0,75,0.2784586250782013,0.0
bc,0,76,0.2670990526676178,0.0
bc,0,77,0.2624819576740265,0.0
bc,0,78,0.2683369219303131,0.0
bc,0,79,0.2613813579082489,0.0
bc,0,80,0.24930532276630402,0.0
bc,0,81,0.2541619837284088,0.0
bc,0,82,0.273385226726532,0.0
bc,0,83,0.27636533975601196,0.0
bc,0,84,0.266938179731369,0.0
bc,0,85,0.2797199487686157,0.0
bc,0,86,0.25876903533935547,0.0
bc,0,87,0.264691025018692,0.0
bc,0,88,0.2446720004081726,0.0
bc,0,89,0.2782062292098999,0.0
bc,0,90,0.24579408764839172,0.0
bc,0,91,0.2517206072807312,0.0
bc,0,92,0.25853532552719116,0.0
bc,0,93,0.24770478904247284,0.0
bc,0,94,0.25669848918914795,0.0
bc,0,95,0.24277617037296295,0.0
bc,0,96,0.24430187046527863,0.0
bc,0,97,0.25352340936660767,0.0
bc,0,98,0.24203334748744965,0.0
bc,0,99,0.2588959336280823,0.0
