typical_day,date_utc,objective_eur,electric_shedding_mwh,heat_shedding_mwh_th,renewable_curtailment_mwh,grid_import_mwh,chp_electric_mwh,heat_pump_heat_mwh_th
winter,2018-01-19,22271.20898087759,0.0,0.0,0.0,108.41685416198084,90.87794285698601,95.3233069318162
summer,2018-08-14,14118.645826600407,0.0,0.0,0.0,110.52397247979059,21.255204385398756,1.8129682858967122
shoulder,2019-05-02,14256.859516035986,0.0,0.0,0.0,72.73971147353775,56.076661195421586,26.766627905592564
