utc_timestamp,electric_load_mw,heat_load_mw_th,pv_available_mw,wind_available_mw,cop_ashp_radiator,temperature_c,grid_import_mw,grid_export_mw,chp_electric_mw,heat_pump_heat_mw_th,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,thermal_charge_mw_th,thermal_discharge_mw_th,thermal_soc_mwh_th,electric_shedding_mw,heat_shedding_mw_th,pv_curtailment_mw,wind_curtailment_mw,chp_heat_mw_th,heat_pump_electric_mw,pv_used_mw,wind_used_mw,electricity_import_price_eur_per_mwh,objective_eur
2019-05-02 00:00:00+00:00,5.132625823672774,2.16912696892047,0.0,1.2775659229208924,3.29,6.651,4.5143690098462494,0.0,0.0,2.16912696892047,0.0,0.0,3.998,0.0,0.0,9.98,0.0,0.0,0.0,0.0,0.0,0.6593091090943678,0.0,1.2775659229208924,80.0,14256.859516035986
2019-05-02 01:00:00+00:00,5.214638486634256,2.441076942609502,0.0,1.3277079107505072,3.28,6.143,3.886930575883749,0.0,0.0,0.0,0.0,0.0,3.9960010000000006,0.0,2.441076942609502,7.390485323568947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3277079107505072,80.0,14256.859516035986
2019-05-02 02:00:00+00:00,5.49162465022115,3.1594129424035424,0.0,1.4002434077079107,3.27,5.893,4.091381242513239,0.0,0.0,0.0,0.0,0.0,3.9940029995000006,0.0,3.1594129424035424,4.0500065188128165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4002434077079107,80.0,14256.859516035986
2019-05-02 03:00:00+00:00,6.057976247275915,4.498470957475173,0.001216915120170368,1.4608519269776876,3.31,5.764,5.954962075110134,0.0,0.0,4.498470957475173,0.0,0.0,3.9920059980002507,0.0,0.0,4.041906505775191,0.0,0.0,0.0,0.0,0.0,1.3590546699320765,0.001216915120170368,1.4608519269776876,80.0,14256.859516035986
2019-05-02 04:00:00+00:00,7.130588402171529,5.54157467672883,0.08104654700334651,1.5011764705882353,3.46,5.885,7.331289327675831,0.0,0.0,5.54157467672883,0.18131276485055636,0.0,4.162257121609279,0.0,0.0,4.03382269276364,0.0,0.0,0.0,0.0,0.0,1.6016111782453266,0.08104654700334651,1.5011764705882353,80.0,14256.859516035986
2019-05-02 05:00:00+00:00,7.918090497620859,5.457568552146635,0.43492546394888953,1.4530628803245436,3.61,7.182,12.0,0.0,0.0,10.0,3.1998147441595,0.0,7.2,4.542431447853365,0.0,8.34106492283881,0.0,0.0,0.0,0.0,0.0,2.770083102493075,0.43492546394888953,1.4530628803245436,80.0,14256.859516035986
2019-05-02 06:00:00+00:00,8.262259990457645,5.119908507069882,0.9723151810161241,1.4021095334685598,3.76,8.709,5.919725836363887,0.0,0.0,0.11990850706988176,0.0,0.0,7.196400000000001,0.0,5.0,3.061224898256289,0.0,0.0,0.0,0.0,0.0,0.031890560390926005,0.9723151810161241,1.4021095334685598,95.0,14256.859516035986
2019-05-02 07:00:00+00:00,8.383086822525112,4.718910210010985,1.5614237906905994,1.3725760649087222,3.85,10.628,6.609273576803656,0.0,0.0,4.43754679539821,0.007577052631578409,0.0,7.2,0.0,0.28136341461277514,2.758930433077908,0.0,0.0,0.0,0.0,0.0,1.1526095572462882,1.5614237906905994,1.3725760649087222,95.0,14256.859516035986
2019-05-02 08:00:00+00:00,8.479284065558549,4.315741943601164,2.1365378764831156,1.3909127789046654,3.92,12.298,0.0,0.0,3.0,0.0,0.0,1.9518334101707673,5.141838515609719,0.0,0.7157419436011647,2.0,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,2.1365378764831156,1.3909127789046654,115.0,14256.859516035986
2019-05-02 09:00:00+00:00,8.596371326516138,4.011851277704904,2.559294189230301,1.4689655172413794,3.98,13.642,0.0,0.0,3.3467181700172444,0.0,0.0,1.2213934500272132,3.853590280533796,0.004210526315789478,0.0,2.0,0.0,0.0,0.0,0.0,4.016061804020693,0.0,2.559294189230301,1.4689655172413794,115.0,14256.859516035986
2019-05-02 10:00:00+00:00,8.529961701633805,3.83053843140731,2.614055369637968,1.6146855983772819,4.01,14.627,0.661603768719425,0.0,3.1956241314359164,0.0,0.0,0.4439928334632144,3.38430260806383,0.004210526315789478,0.0,2.0,0.0,0.0,0.0,0.0,3.8347489577230993,0.0,2.614055369637968,1.6146855983772819,115.0,14256.859516035986
2019-05-02 11:00:00+00:00,8.445370024113785,3.7686158665279823,2.4949193793732887,1.7169979716024342,4.02,15.28,1.0894306791015858,0.0,3.1440219940364766,0.0,0.0,0.0,3.382610456759798,0.004210526315789478,0.0,2.0,0.0,0.0,0.0,0.0,3.772826392843772,0.0,2.4949193793732887,1.7169979716024342,115.0,14256.859516035986
2019-05-02 12:00:00+00:00,8.337180363383151,3.72875311337594,2.25543048372376,1.7973225152129817,4.02,15.584,1.1736243313699677,0.0,3.1108030330764413,0.0,0.0,0.0,3.3809191515314185,0.004210526315789478,0.0,2.0,0.0,0.0,0.0,0.0,3.7329636396917296,0.0,2.25543048372376,1.7973225152129817,115.0,14256.859516035986
2019-05-02 13:00:00+00:00,8.309584907606803,3.7952706767066373,1.8954669911773654,1.7666531440162272,4.01,15.467,1.4812304365611886,0.0,3.1662343358520224,0.0,0.0,0.0,3.379228691955653,0.004210526315789478,0.0,2.0,0.0,0.0,0.0,0.0,3.7994812030224265,0.0,1.8954669911773654,1.7666531440162272,115.0,14256.859516035986
2019-05-02 14:00:00+00:00,8.179731524584456,3.9524192369070983,1.4718588378460602,1.7603245436105477,3.99,14.995,1.6503566737754416,0.0,3.297191469352407,0.0,0.0,0.0,3.3775390776096756,0.004210526315789478,0.0,2.0,0.0,0.0,0.0,0.0,3.956629763222888,0.0,1.4718588378460602,1.7603245436105477,115.0,14256.859516035986
2019-05-02 15:00:00+00:00,8.172510283820552,4.12537943216723,0.9893519926985093,1.7250304259634888,3.94,14.291,2.0168028997560374,0.0,3.4413249654025164,0.0,0.0,0.0,3.375850308070871,0.004210526315789478,0.0,2.0,0.0,0.0,0.0,0.0,4.129589958483019,0.0,0.9893519926985093,1.7250304259634888,115.0,14256.859516035986
2019-05-02 16:00:00+00:00,8.148912300609936,4.297779967340814,0.5039245512625494,1.6160649087221095,3.88,13.307,2.0634509679598243,0.0,3.9654718726654523,0.0,0.0,0.0,3.3741623829168357,0.46078627985772896,0.0,2.4337469658648425,0.0,0.0,0.0,0.0,4.758566247198543,0.0,0.5039245512625494,1.6160649087221095,115.0,14256.859516035986
2019-05-02 17:00:00+00:00,8.03956208332796,4.483008261087515,0.15892911469425008,1.57947261663286,3.8,12.049,0.0,0.0,6.0,0.0,0.0,0.30116035200084923,3.055464404882378,2.7169917389124842,0.0,5.010021623899973,0.0,0.0,0.0,0.0,7.199999999999999,0.0,0.15892911469425008,1.57947261663286,140.0,14256.859516035986
2019-05-02 18:00:00+00:00,7.760512708094236,4.379759172395042,0.014237906905993306,1.581338742393509,3.72,10.559,0.0,0.0,6.0,0.0,0.0,0.1649360587947335,2.8803197686854807,2.820240827604957,0.0,7.679230366876881,0.0,0.0,0.0,0.0,7.199999999999999,0.0,0.014237906905993306,1.581338742393509,140.0,14256.859516035986
2019-05-02 19:00:00+00:00,7.583721260106513,4.044871015717368,0.0,1.643975659229209,3.64,9.561,0.0,0.0,5.939745600877304,0.0,0.0,0.0,2.878879608801138,3.0828237053353957,0.0,10.592554426211754,0.0,0.0,0.0,0.0,7.127694721052764,0.0,0.0,1.643975659229209,140.0,14256.859516035986
2019-05-02 20:00:00+00:00,7.164373492888367,3.054684989510465,0.0,1.6948478701825558,3.56,8.803,0.0,0.0,5.469525622705811,0.0,0.0,0.0,2.8774401689967375,3.508745757736508,0.0,13.904677787209012,0.0,0.0,0.0,0.0,6.563430747246973,0.0,0.0,1.6948478701825558,140.0,14256.859516035986
