scenario,family,episode,steps,raw_hard_safety_cost,raw_soft_operation_cost,projected_hard_safety_cost,projected_soft_operation_cost,mean_projection_distance_l2,mean_weighted_projection_distance,mean_solve_time_ms,p95_solve_time_ms,intervention_rate,fallback_rate
in_distribution,baseline,0,24.0,281.48704787854626,0.0,4.6985993673587245e-07,22.746888365815536,1.9987718363602955,1.698077316766031,55.57369166666663,62.57841500000028,1.0,1.0
in_distribution,baseline,1,24.0,301.4485736711333,0.0,9.768204645155265e-08,32.60942958075947,2.111176366607348,1.8288435273781092,49.32221666666667,58.18209000000058,1.0,1.0
in_distribution,baseline,2,24.0,307.69406157068846,0.0,2.436274995076815e-07,27.91070198783531,2.1903022627035775,1.917459902907705,44.092241666666744,45.7435799999998,1.0,1.0
in_distribution,baseline,3,24.0,406.2534777686543,0.0,3.3011417954753597e-07,1.319227266563713,2.569632828235626,2.334060251118256,43.52893749999998,47.66871499999947,1.0,1.0
in_distribution,baseline,4,24.0,340.91517770380335,0.0,7.692609038656428e-08,62.21910104995139,2.55232971906662,2.251443423475733,43.94508749999981,47.55981500000037,1.0,1.0
in_distribution,baseline,5,24.0,348.95860436256817,0.0,1.9033798537293478e-08,54.60127348626417,2.5551962157090506,2.2547920868880214,45.836899999999844,50.14753499999944,1.0,1.0
in_distribution,baseline,6,24.0,308.35749617956014,0.0,1.484035898613456e-07,27.698698311498323,2.1913097302118936,1.9186861284421404,44.75877083333332,51.083059999999044,1.0,1.0
in_distribution,baseline,7,24.0,273.2104061703533,0.0,0.0,53.18959382964676,2.0,1.7320508075688774,43.137537499999745,47.09823499999972,1.0,1.0
in_distribution,baseline,8,24.0,269.70848807916065,0.0,0.0,56.914190030889024,2.0,1.7320508075688774,44.99409166666683,49.21399999999964,1.0,1.0
in_distribution,baseline,9,24.0,262.345345468375,0.0,0.0,64.05465453162503,2.0,1.7320508075688774,44.82328749999986,50.54853999999968,1.0,1.0
in_distribution,baseline,10,24.0,288.519281158007,0.0,2.4532748277295013e-07,36.753986836854445,2.047398408253988,1.7543838496612019,44.8661041666667,47.89466499999886,1.0,1.0
in_distribution,baseline,11,24.0,295.2051544412246,0.0,0.0,38.40517184008591,2.092202916741371,1.8075988858959189,43.75620416666674,45.903635000000165,1.0,1.0
